"trial_id","clinician_id","round","experimental_cond","patient_demo","gender","race","numans","numtruth","treat_rec","guideline_treat","abserror","correct","error","accuracy","accuracy_norm","round_num","Round1","Round3"
1,84016,"Initial","Network","white male","M","W",20,12,"C","C",8,TRUE,4,-8,0.909090909090909,1,TRUE,TRUE
1,84016,"Second","Network","white male","M","W",20,12,"C","C",8,TRUE,4,-8,0.909090909090909,2,TRUE,TRUE
1,84016,"Final","Network","white male","M","W",14,12,"C","C",2,TRUE,-2,-2,0.977272727272727,3,TRUE,TRUE
1,84064,"Initial","Network","white male","M","W",3,12,"A","C",9,FALSE,-13,-9,0.897727272727273,1,TRUE,TRUE
1,84064,"Second","Network","white male","M","W",1.5,12,"A","C",10.5,FALSE,-14.5,-10.5,0.880681818181818,2,TRUE,TRUE
1,84064,"Final","Network","white male","M","W",15,12,"C","C",3,TRUE,-1,-3,0.965909090909091,3,TRUE,TRUE
1,84084,"Initial","Network","white male","M","W",8,12,"B","C",4,FALSE,-8,-4,0.954545454545455,1,TRUE,TRUE
1,84084,"Second","Network","white male","M","W",15,12,"B","C",3,FALSE,-1,-3,0.965909090909091,2,TRUE,TRUE
1,84084,"Final","Network","white male","M","W",8,12,"B","C",4,FALSE,-8,-4,0.954545454545455,3,TRUE,TRUE
1,84087,"Initial","Network","white male","M","W",10,12,"A","C",2,FALSE,-6,-2,0.977272727272727,1,TRUE,TRUE
1,84087,"Second","Network","white male","M","W",25,12,"B","C",13,FALSE,9,-13,0.852272727272727,2,TRUE,TRUE
1,84087,"Final","Network","white male","M","W",10,12,"B","C",2,FALSE,-6,-2,0.977272727272727,3,TRUE,TRUE
1,84095,"Second","Network","white male","M","W",15,12,"D","C",3,FALSE,-1,-3,0.965909090909091,2,TRUE,TRUE
1,84095,"Final","Network","white male","M","W",15,12,"C","C",3,TRUE,-1,-3,0.965909090909091,3,TRUE,TRUE
1,84115,"Initial","Network","white male","M","W",5,12,"B","C",7,FALSE,-11,-7,0.920454545454545,1,TRUE,TRUE
1,84115,"Second","Network","white male","M","W",5,12,"B","C",7,FALSE,-11,-7,0.920454545454545,2,TRUE,TRUE
1,84115,"Final","Network","white male","M","W",5,12,"B","C",7,FALSE,-11,-7,0.920454545454545,3,TRUE,TRUE
1,84137,"Initial","Network","white male","M","W",6,12,"C","C",6,TRUE,-10,-6,0.931818181818182,1,TRUE,TRUE
1,84146,"Initial","Network","white male","M","W",10,12,"B","C",2,FALSE,-6,-2,0.977272727272727,1,TRUE,TRUE
1,84146,"Second","Network","white male","M","W",20,12,"B","C",8,FALSE,4,-8,0.909090909090909,2,TRUE,TRUE
1,84146,"Final","Network","white male","M","W",10,12,"B","C",2,FALSE,-6,-2,0.977272727272727,3,TRUE,TRUE
1,84151,"Initial","Network","white male","M","W",50,12,"C","C",38,TRUE,34,-38,0.568181818181818,1,TRUE,TRUE
1,84151,"Second","Network","white male","M","W",50,12,"C","C",38,TRUE,34,-38,0.568181818181818,2,TRUE,TRUE
1,84151,"Final","Network","white male","M","W",50,12,"C","C",38,TRUE,34,-38,0.568181818181818,3,TRUE,TRUE
1,84178,"Initial","Network","white male","M","W",10,12,"C","C",2,TRUE,-6,-2,0.977272727272727,1,TRUE,TRUE
1,84178,"Second","Network","white male","M","W",10,12,"C","C",2,TRUE,-6,-2,0.977272727272727,2,TRUE,TRUE
1,84178,"Final","Network","white male","M","W",10,12,"B","C",2,FALSE,-6,-2,0.977272727272727,3,TRUE,TRUE
1,84182,"Initial","Network","white male","M","W",5,12,"B","C",7,FALSE,-11,-7,0.920454545454545,1,TRUE,TRUE
1,84182,"Second","Network","white male","M","W",6,12,"B","C",6,FALSE,-10,-6,0.931818181818182,2,TRUE,TRUE
1,84182,"Final","Network","white male","M","W",6,12,"B","C",6,FALSE,-10,-6,0.931818181818182,3,TRUE,TRUE
1,84197,"Initial","Network","white male","M","W",25,12,"B","C",13,FALSE,9,-13,0.852272727272727,1,TRUE,TRUE
1,84197,"Second","Network","white male","M","W",25,12,"B","C",13,FALSE,9,-13,0.852272727272727,2,TRUE,TRUE
1,84197,"Final","Network","white male","M","W",25,12,"B","C",13,FALSE,9,-13,0.852272727272727,3,TRUE,TRUE
1,84209,"Initial","Network","white male","M","W",15,12,"A","C",3,FALSE,-1,-3,0.965909090909091,1,TRUE,TRUE
1,84209,"Second","Network","white male","M","W",15,12,"A","C",3,FALSE,-1,-3,0.965909090909091,2,TRUE,TRUE
1,84209,"Final","Network","white male","M","W",15,12,"A","C",3,FALSE,-1,-3,0.965909090909091,3,TRUE,TRUE
1,84255,"Initial","Network","white male","M","W",15,12,"B","C",3,FALSE,-1,-3,0.965909090909091,1,TRUE,TRUE
1,84255,"Second","Network","white male","M","W",20,12,"C","C",8,TRUE,4,-8,0.909090909090909,2,TRUE,TRUE
1,84255,"Final","Network","white male","M","W",15,12,"C","C",3,TRUE,-1,-3,0.965909090909091,3,TRUE,TRUE
1,84256,"Initial","Network","white male","M","W",40,12,"A","C",28,FALSE,24,-28,0.681818181818182,1,TRUE,TRUE
